model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,translation_16_left,test_00632,3,cat,0.99033064
vit_b_16_linear,translation_16_left,test_00131,9,truck,0.9781554
vit_b_16_linear,translation_16_left,test_07081,7,monkey,0.99493974
vit_b_16_linear,translation_16_left,test_01836,9,truck,0.97795206
vit_b_16_linear,translation_16_left,test_06437,0,airplane,0.9834792
vit_b_16_linear,translation_16_left,test_06609,0,airplane,0.9922881
vit_b_16_linear,translation_16_left,test_03467,7,monkey,0.9929642
vit_b_16_linear,translation_16_left,test_01401,3,cat,0.9498946
vit_b_16_linear,translation_16_left,test_01839,2,car,0.9584537
vit_b_16_linear,translation_16_left,test_04168,3,cat,0.9782598
vit_b_16_linear,translation_16_left,test_00035,2,car,0.97665876
vit_b_16_linear,translation_16_left,test_04177,8,ship,0.84718734
vit_b_16_linear,translation_16_left,test_07270,7,monkey,0.94410783
vit_b_16_linear,translation_16_left,test_02265,5,dog,0.98889685
vit_b_16_linear,translation_16_left,test_03288,7,monkey,0.99813515
vit_b_16_linear,translation_16_left,test_05451,8,ship,0.9830149
vit_b_16_linear,translation_16_left,test_04023,3,cat,0.99452585
vit_b_16_linear,translation_16_left,test_00261,1,bird,0.9986485
vit_b_16_linear,translation_16_left,test_04570,5,dog,0.98404384
vit_b_16_linear,translation_16_left,test_04966,5,dog,0.98440224
vit_b_16_linear,translation_16_left,test_07955,1,bird,0.9911076
vit_b_16_linear,translation_16_left,test_06288,4,deer,0.96748716
vit_b_16_linear,translation_16_left,test_07810,8,ship,0.9333259
vit_b_16_linear,translation_16_left,test_01927,7,monkey,0.9882629
vit_b_16_linear,translation_16_left,test_01871,1,bird,0.99272674
vit_b_16_linear,translation_16_left,test_06922,5,dog,0.98829067
vit_b_16_linear,translation_16_left,test_03512,4,deer,0.9665475
vit_b_16_linear,translation_16_left,test_04754,6,horse,0.98590195
vit_b_16_linear,translation_16_left,test_00714,2,car,0.9726872
vit_b_16_linear,translation_16_left,test_02191,8,ship,0.98167443
vit_b_16_linear,translation_16_left,test_04615,0,airplane,0.98734665
vit_b_16_linear,translation_16_left,test_04662,8,ship,0.97464985
vit_b_16_linear,translation_16_left,test_05915,9,truck,0.9767725
vit_b_16_linear,translation_16_left,test_00766,4,deer,0.96974635
vit_b_16_linear,translation_16_left,test_05218,2,car,0.9891595
vit_b_16_linear,translation_16_left,test_02340,8,ship,0.9789292
vit_b_16_linear,translation_16_left,test_01954,8,ship,0.9679175
vit_b_16_linear,translation_16_left,test_07875,8,ship,0.9253878
vit_b_16_linear,translation_16_left,test_03418,6,horse,0.9873482
vit_b_16_linear,translation_16_left,test_05572,9,truck,0.9894315
vit_b_16_linear,translation_16_left,test_05977,7,monkey,0.9923278
vit_b_16_linear,translation_16_left,test_05123,1,bird,0.9961293
vit_b_16_linear,translation_16_left,test_05851,9,truck,0.99313116
vit_b_16_linear,translation_16_left,test_04094,9,truck,0.98283833
vit_b_16_linear,translation_16_left,test_04254,6,horse,0.9665097
vit_b_16_linear,translation_16_left,test_02501,7,monkey,0.99537843
vit_b_16_linear,translation_16_left,test_06938,1,bird,0.9915776
vit_b_16_linear,translation_16_left,test_00171,4,deer,0.9882741
vit_b_16_linear,translation_16_left,test_04215,3,cat,0.94319195
vit_b_16_linear,translation_16_left,test_05705,8,ship,0.9763165
vit_b_16_linear,translation_16_left,test_03458,4,deer,0.967114
vit_b_16_linear,translation_16_left,test_01220,7,monkey,0.9935476
vit_b_16_linear,translation_16_left,test_00962,8,ship,0.97931415
vit_b_16_linear,translation_16_left,test_02950,5,dog,0.97567046
vit_b_16_linear,translation_16_left,test_02623,5,dog,0.86874044
vit_b_16_linear,translation_16_left,test_04539,0,airplane,0.9524586
vit_b_16_linear,translation_16_left,test_01553,0,airplane,0.963938
vit_b_16_linear,translation_16_left,test_04740,4,deer,0.9785186
vit_b_16_linear,translation_16_left,test_06844,0,airplane,0.99615735
vit_b_16_linear,translation_16_left,test_02668,7,monkey,0.99740165
vit_b_16_linear,translation_16_left,test_03153,7,monkey,0.9947751
vit_b_16_linear,translation_16_left,test_05135,4,deer,0.93395156
vit_b_16_linear,translation_16_left,test_02291,3,cat,0.9863453
vit_b_16_linear,translation_16_left,test_00116,1,bird,0.97588795
vit_b_16_linear,translation_16_left,test_07797,3,cat,0.9833447
vit_b_16_linear,translation_16_left,test_04609,3,cat,0.97699934
vit_b_16_linear,translation_16_left,test_00081,0,airplane,0.9216379
vit_b_16_linear,translation_16_left,test_05580,6,horse,0.97199583
vit_b_16_linear,translation_16_left,test_03024,2,car,0.99385446
vit_b_16_linear,translation_16_left,test_02766,5,dog,0.9919084
vit_b_16_linear,translation_16_left,test_05000,8,ship,0.96093553
vit_b_16_linear,translation_16_left,test_02610,6,horse,0.9539059
vit_b_16_linear,translation_16_left,test_02024,0,airplane,0.9867346
vit_b_16_linear,translation_16_left,test_06097,4,deer,0.99413407
vit_b_16_linear,translation_16_left,test_00964,6,horse,0.9801249
vit_b_16_linear,translation_16_left,test_07634,0,airplane,0.9971477
vit_b_16_linear,translation_16_left,test_06434,8,ship,0.9867839
vit_b_16_linear,translation_16_left,test_05183,2,car,0.9783526
vit_b_16_linear,translation_16_left,test_06986,0,airplane,0.98713106
vit_b_16_linear,translation_16_left,test_00645,5,dog,0.96421146
vit_b_16_linear,translation_16_left,test_03347,0,airplane,0.96174717
vit_b_16_linear,translation_16_left,test_05677,2,car,0.9524247
vit_b_16_linear,translation_16_left,test_03412,8,ship,0.9865441
vit_b_16_linear,translation_16_left,test_03937,1,bird,0.9918298
vit_b_16_linear,translation_16_left,test_00873,6,horse,0.8991506
vit_b_16_linear,translation_16_left,test_02167,9,truck,0.9834991
vit_b_16_linear,translation_16_left,test_06490,3,cat,0.9698696
vit_b_16_linear,translation_16_left,test_00738,3,cat,0.95315564
vit_b_16_linear,translation_16_left,test_06616,2,car,0.9315587
vit_b_16_linear,translation_16_left,test_04093,6,horse,0.9434075
vit_b_16_linear,translation_16_left,test_05788,9,truck,0.9986948
vit_b_16_linear,translation_16_left,test_07818,8,ship,0.9899873
vit_b_16_linear,translation_16_left,test_00304,1,bird,0.9579423
vit_b_16_linear,translation_16_left,test_02082,2,car,0.9714286
vit_b_16_linear,translation_16_left,test_02746,7,monkey,0.99571526
vit_b_16_linear,translation_16_left,test_07944,4,deer,0.9807887
vit_b_16_linear,translation_16_left,test_06689,8,ship,0.9914473
vit_b_16_linear,translation_16_left,test_02414,9,truck,0.98131907
vit_b_16_linear,translation_16_left,test_03779,6,horse,0.9380053
vit_b_16_linear,translation_16_left,test_02095,1,bird,0.99157256
vit_b_16_linear,translation_16_left,test_07262,0,airplane,0.9823522
vit_b_16_linear,translation_16_left,test_05694,8,ship,0.9883238
vit_b_16_linear,translation_16_left,test_07413,5,dog,0.99465317
vit_b_16_linear,translation_16_left,test_06805,1,bird,0.99957484
vit_b_16_linear,translation_16_left,test_03446,7,monkey,0.9912214
vit_b_16_linear,translation_16_left,test_02807,5,dog,0.9735572
vit_b_16_linear,translation_16_left,test_07940,4,deer,0.96443343
vit_b_16_linear,translation_16_left,test_04172,7,monkey,0.99584055
vit_b_16_linear,translation_16_left,test_07744,3,cat,0.89521855
vit_b_16_linear,translation_16_left,test_01586,2,car,0.9681399
vit_b_16_linear,translation_16_left,test_07999,8,ship,0.9398698
vit_b_16_linear,translation_16_left,test_06349,1,bird,0.96267825
vit_b_16_linear,translation_16_left,test_06594,1,bird,0.9965782
vit_b_16_linear,translation_16_left,test_02109,8,ship,0.981058
vit_b_16_linear,translation_16_left,test_03079,1,bird,0.99410605
vit_b_16_linear,translation_16_left,test_02070,1,bird,0.9381425
vit_b_16_linear,translation_16_left,test_00319,5,dog,0.9920716
vit_b_16_linear,translation_16_left,test_02888,0,airplane,0.9692
vit_b_16_linear,translation_16_left,test_06224,5,dog,0.99033797
vit_b_16_linear,translation_16_left,test_03353,5,dog,0.96516764
vit_b_16_linear,translation_16_left,test_06244,2,car,0.92171776
vit_b_16_linear,translation_16_left,test_04704,7,monkey,0.97120446
vit_b_16_linear,translation_16_left,test_02427,5,dog,0.9893703
vit_b_16_linear,translation_16_left,test_07995,9,truck,0.95748633
vit_b_16_linear,translation_16_left,test_01124,4,deer,0.98828065
vit_b_16_linear,translation_16_left,test_06733,1,bird,0.99768746
vit_b_16_linear,translation_16_left,test_02062,9,truck,0.98535645
vit_b_16_linear,translation_16_left,test_00805,9,truck,0.9911548
vit_b_16_linear,translation_16_left,test_02028,3,cat,0.96401316
vit_b_16_linear,translation_16_left,test_02392,2,car,0.9774723
vit_b_16_linear,translation_16_left,test_03292,6,horse,0.98467433
vit_b_16_linear,translation_16_left,test_01440,7,monkey,0.9927693
vit_b_16_linear,translation_16_left,test_01115,1,bird,0.9546691
vit_b_16_linear,translation_16_left,test_04242,8,ship,0.9924929
vit_b_16_linear,translation_16_left,test_02230,8,ship,0.95580477
vit_b_16_linear,translation_16_left,test_03163,2,car,0.98074335
vit_b_16_linear,translation_16_left,test_00545,6,horse,0.9682235
vit_b_16_linear,translation_16_left,test_03863,5,dog,0.9966254
vit_b_16_linear,translation_16_left,test_04748,7,monkey,0.9833432
vit_b_16_linear,translation_16_left,test_02399,4,deer,0.95831525
vit_b_16_linear,translation_16_left,test_04341,6,horse,0.98990047
vit_b_16_linear,translation_16_left,test_03078,4,deer,0.9790429
vit_b_16_linear,translation_16_left,test_03763,4,deer,0.9858631
vit_b_16_linear,translation_16_left,test_02958,6,horse,0.99672467
vit_b_16_linear,translation_16_left,test_06381,6,horse,0.96628946
vit_b_16_linear,translation_16_left,test_01640,8,ship,0.9071739
vit_b_16_linear,translation_16_left,test_01783,8,ship,0.9845749
vit_b_16_linear,translation_16_left,test_03914,3,cat,0.9958458
vit_b_16_linear,translation_16_left,test_01534,6,horse,0.95607555
vit_b_16_linear,translation_16_left,test_00685,5,dog,0.9780791
vit_b_16_linear,translation_16_left,test_04617,0,airplane,0.9894568
vit_b_16_linear,translation_16_left,test_05508,9,truck,0.9865607
vit_b_16_linear,translation_16_left,test_01022,9,truck,0.97178394
vit_b_16_linear,translation_16_left,test_01230,1,bird,0.99138767
vit_b_16_linear,translation_16_left,test_07475,4,deer,0.98123705
vit_b_16_linear,translation_16_left,test_05756,2,car,0.9818493
vit_b_16_linear,translation_16_left,test_03122,4,deer,0.9896681
vit_b_16_linear,translation_16_left,test_07202,1,bird,0.98870647
vit_b_16_linear,translation_16_left,test_04723,9,truck,0.98798877
vit_b_16_linear,translation_16_left,test_01552,5,dog,0.9933368
vit_b_16_linear,translation_16_left,test_00603,9,truck,0.98326963
vit_b_16_linear,translation_16_left,test_02861,3,cat,0.9670202
vit_b_16_linear,translation_16_left,test_06426,2,car,0.98217523
vit_b_16_linear,translation_16_left,test_07864,4,deer,0.9942711
vit_b_16_linear,translation_16_left,test_05729,6,horse,0.94789094
vit_b_16_linear,translation_16_left,test_07474,5,dog,0.9854177
vit_b_16_linear,translation_16_left,test_04298,1,bird,0.9966781
vit_b_16_linear,translation_16_left,test_01175,0,airplane,0.98430467
vit_b_16_linear,translation_16_left,test_03454,2,car,0.9618567
vit_b_16_linear,translation_16_left,test_02754,3,cat,0.9986213
vit_b_16_linear,translation_16_left,test_00855,4,deer,0.9436336
vit_b_16_linear,translation_16_left,test_02854,7,monkey,0.998843
vit_b_16_linear,translation_16_left,test_05092,1,bird,0.9872362
vit_b_16_linear,translation_16_left,test_05590,9,truck,0.9668782
vit_b_16_linear,translation_16_left,test_04463,3,cat,0.9082499
vit_b_16_linear,translation_16_left,test_05318,2,car,0.970379
vit_b_16_linear,translation_16_left,test_03515,6,horse,0.9811397
vit_b_16_linear,translation_16_left,test_04642,4,deer,0.95858705
vit_b_16_linear,translation_16_left,test_00852,9,truck,0.98076576
vit_b_16_linear,translation_16_left,test_01247,8,ship,0.9947589
vit_b_16_linear,translation_16_left,test_07084,2,car,0.97230947
vit_b_16_linear,translation_16_left,test_05301,9,truck,0.97208977
vit_b_16_linear,translation_16_left,test_05082,6,horse,0.9948536
vit_b_16_linear,translation_16_left,test_05077,4,deer,0.9883271
vit_b_16_linear,translation_16_left,test_01563,3,cat,0.98383284
vit_b_16_linear,translation_16_left,test_00029,7,monkey,0.9825089
vit_b_16_linear,translation_16_left,test_03867,7,monkey,0.99598503
vit_b_16_linear,translation_16_left,test_04620,6,horse,0.9944824
vit_b_16_linear,translation_16_left,test_04065,2,car,0.96174264
vit_b_16_linear,translation_16_left,test_01095,5,dog,0.9895175
vit_b_16_linear,translation_16_left,test_04229,3,cat,0.99552107
vit_b_16_linear,translation_16_left,test_03562,3,cat,0.99042094
vit_b_16_linear,translation_16_left,test_02342,8,ship,0.9891033
vit_b_16_linear,translation_16_left,test_01667,6,horse,0.9741882
vit_b_16_linear,translation_16_left,test_07033,1,bird,0.98521006
vit_b_16_linear,translation_16_left,test_01771,7,monkey,0.99028146
vit_b_16_linear,translation_16_left,test_03157,8,ship,0.95471716
vit_b_16_linear,translation_16_left,test_03851,3,cat,0.99300027
vit_b_16_linear,translation_16_left,test_01287,7,monkey,0.99560446
vit_b_16_linear,translation_16_left,test_07320,0,airplane,0.9587302
vit_b_16_linear,translation_16_left,test_07600,6,horse,0.9784777
vit_b_16_linear,translation_16_left,test_03852,5,dog,0.9873257
vit_b_16_linear,translation_16_left,test_00269,7,monkey,0.9762039
vit_b_16_linear,translation_16_left,test_01703,7,monkey,0.9860383
vit_b_16_linear,translation_16_left,test_07776,5,dog,0.9905929
vit_b_16_linear,translation_16_left,test_03891,4,deer,0.9970285
vit_b_16_linear,translation_16_left,test_07009,0,airplane,0.9853648
vit_b_16_linear,translation_16_left,test_04893,0,airplane,0.9931039
vit_b_16_linear,translation_16_left,test_02351,9,truck,0.99360013
vit_b_16_linear,translation_16_left,test_03550,1,bird,0.9817869
vit_b_16_linear,translation_16_left,test_05719,7,monkey,0.9980811
vit_b_16_linear,translation_16_left,test_01884,7,monkey,0.99169445
vit_b_16_linear,translation_16_left,test_02898,4,deer,0.98340666
vit_b_16_linear,translation_16_left,test_04640,1,bird,0.9942493
vit_b_16_linear,translation_16_left,test_07610,4,deer,0.98040664
vit_b_16_linear,translation_16_left,test_01833,8,ship,0.9837435
vit_b_16_linear,translation_16_left,test_06455,0,airplane,0.99048555
vit_b_16_linear,translation_16_left,test_03893,9,truck,0.988201
vit_b_16_linear,translation_16_left,test_04731,6,horse,0.9765079
vit_b_16_linear,translation_16_left,test_00929,6,horse,0.980965
vit_b_16_linear,translation_16_left,test_03962,6,horse,0.99491316
vit_b_16_linear,translation_16_left,test_03778,3,cat,0.9720521
vit_b_16_linear,translation_16_left,test_01429,4,deer,0.9850654
vit_b_16_linear,translation_16_left,test_00049,2,car,0.9800306
vit_b_16_linear,translation_16_left,test_00276,9,truck,0.88206524
vit_b_16_linear,translation_16_left,test_06076,1,bird,0.9920242
vit_b_16_linear,translation_16_left,test_01389,0,airplane,0.9713739
vit_b_16_linear,translation_16_left,test_03362,2,car,0.97743595
vit_b_16_linear,translation_16_left,test_00317,2,car,0.9773266
vit_b_16_linear,translation_16_left,test_04675,0,airplane,0.99316835
vit_b_16_linear,translation_16_left,test_05924,5,dog,0.98642635
vit_b_16_linear,translation_16_left,test_00198,1,bird,0.9942246
vit_b_16_linear,translation_16_left,test_07779,6,horse,0.9721427
vit_b_16_linear,translation_16_left,test_04054,4,deer,0.9795472
vit_b_16_linear,translation_16_left,test_05556,4,deer,0.9795201
vit_b_16_linear,translation_16_left,test_02687,1,bird,0.9610089
