model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,translation_8_left,test_00632,3,cat,0.9836239
clip_vit_b_32_linear,translation_8_left,test_00131,9,truck,0.9698862
clip_vit_b_32_linear,translation_8_left,test_07081,7,monkey,0.9755131
clip_vit_b_32_linear,translation_8_left,test_01836,9,truck,0.9855588
clip_vit_b_32_linear,translation_8_left,test_06437,0,airplane,0.9852251
clip_vit_b_32_linear,translation_8_left,test_06609,0,airplane,0.9843993
clip_vit_b_32_linear,translation_8_left,test_03467,7,monkey,0.9728958
clip_vit_b_32_linear,translation_8_left,test_01401,3,cat,0.9864952
clip_vit_b_32_linear,translation_8_left,test_01839,2,car,0.9793573
clip_vit_b_32_linear,translation_8_left,test_04168,3,cat,0.9834036
clip_vit_b_32_linear,translation_8_left,test_00035,2,car,0.98622894
clip_vit_b_32_linear,translation_8_left,test_04177,8,ship,0.97851723
clip_vit_b_32_linear,translation_8_left,test_07270,7,monkey,0.9720126
clip_vit_b_32_linear,translation_8_left,test_02265,5,dog,0.9796201
clip_vit_b_32_linear,translation_8_left,test_03288,7,monkey,0.9805482
clip_vit_b_32_linear,translation_8_left,test_05451,8,ship,0.98586494
clip_vit_b_32_linear,translation_8_left,test_04023,3,cat,0.96935135
clip_vit_b_32_linear,translation_8_left,test_00261,1,bird,0.9861521
clip_vit_b_32_linear,translation_8_left,test_04570,5,dog,0.9751273
clip_vit_b_32_linear,translation_8_left,test_04966,5,dog,0.9593847
clip_vit_b_32_linear,translation_8_left,test_07955,1,bird,0.98560685
clip_vit_b_32_linear,translation_8_left,test_06288,4,deer,0.9740228
clip_vit_b_32_linear,translation_8_left,test_07810,8,ship,0.98533094
clip_vit_b_32_linear,translation_8_left,test_01927,7,monkey,0.96807915
clip_vit_b_32_linear,translation_8_left,test_01871,1,bird,0.996227
clip_vit_b_32_linear,translation_8_left,test_06922,5,dog,0.9635435
clip_vit_b_32_linear,translation_8_left,test_03512,4,deer,0.9903493
clip_vit_b_32_linear,translation_8_left,test_04754,6,horse,0.98722243
clip_vit_b_32_linear,translation_8_left,test_00714,2,car,0.9513174
clip_vit_b_32_linear,translation_8_left,test_02191,8,ship,0.98693675
clip_vit_b_32_linear,translation_8_left,test_04615,0,airplane,0.9825837
clip_vit_b_32_linear,translation_8_left,test_04662,8,ship,0.98563635
clip_vit_b_32_linear,translation_8_left,test_05915,9,truck,0.9809849
clip_vit_b_32_linear,translation_8_left,test_00766,4,deer,0.98812926
clip_vit_b_32_linear,translation_8_left,test_05218,2,car,0.98951495
clip_vit_b_32_linear,translation_8_left,test_02340,8,ship,0.9910397
clip_vit_b_32_linear,translation_8_left,test_01954,8,ship,0.98125136
clip_vit_b_32_linear,translation_8_left,test_07875,8,ship,0.9892801
clip_vit_b_32_linear,translation_8_left,test_03418,6,horse,0.99175596
clip_vit_b_32_linear,translation_8_left,test_05572,9,truck,0.9798339
clip_vit_b_32_linear,translation_8_left,test_05977,7,monkey,0.9863446
clip_vit_b_32_linear,translation_8_left,test_05123,1,bird,0.98551357
clip_vit_b_32_linear,translation_8_left,test_05851,9,truck,0.9914381
clip_vit_b_32_linear,translation_8_left,test_04094,9,truck,0.9590376
clip_vit_b_32_linear,translation_8_left,test_04254,6,horse,0.9877256
clip_vit_b_32_linear,translation_8_left,test_02501,7,monkey,0.98398995
clip_vit_b_32_linear,translation_8_left,test_06938,1,bird,0.98641646
clip_vit_b_32_linear,translation_8_left,test_00171,4,deer,0.9870978
clip_vit_b_32_linear,translation_8_left,test_04215,3,cat,0.94123054
clip_vit_b_32_linear,translation_8_left,test_05705,8,ship,0.98841745
clip_vit_b_32_linear,translation_8_left,test_03458,4,deer,0.98825246
clip_vit_b_32_linear,translation_8_left,test_01220,7,monkey,0.9884733
clip_vit_b_32_linear,translation_8_left,test_00962,8,ship,0.98008084
clip_vit_b_32_linear,translation_8_left,test_02950,5,dog,0.97886723
clip_vit_b_32_linear,translation_8_left,test_02623,5,dog,0.98177373
clip_vit_b_32_linear,translation_8_left,test_04539,0,airplane,0.9846521
clip_vit_b_32_linear,translation_8_left,test_01553,0,airplane,0.97467566
clip_vit_b_32_linear,translation_8_left,test_04740,4,deer,0.9877191
clip_vit_b_32_linear,translation_8_left,test_06844,0,airplane,0.9824091
clip_vit_b_32_linear,translation_8_left,test_02668,7,monkey,0.9879193
clip_vit_b_32_linear,translation_8_left,test_03153,7,monkey,0.9730643
clip_vit_b_32_linear,translation_8_left,test_05135,4,deer,0.9776379
clip_vit_b_32_linear,translation_8_left,test_02291,3,cat,0.95609784
clip_vit_b_32_linear,translation_8_left,test_00116,1,bird,0.9733752
clip_vit_b_32_linear,translation_8_left,test_07797,3,cat,0.9801
clip_vit_b_32_linear,translation_8_left,test_04609,3,cat,0.9740153
clip_vit_b_32_linear,translation_8_left,test_00081,0,airplane,0.9649961
clip_vit_b_32_linear,translation_8_left,test_05580,6,horse,0.9881762
clip_vit_b_32_linear,translation_8_left,test_03024,2,car,0.98259926
clip_vit_b_32_linear,translation_8_left,test_02766,5,dog,0.96366715
clip_vit_b_32_linear,translation_8_left,test_05000,8,ship,0.9935198
clip_vit_b_32_linear,translation_8_left,test_02610,6,horse,0.9687915
clip_vit_b_32_linear,translation_8_left,test_02024,0,airplane,0.98497766
clip_vit_b_32_linear,translation_8_left,test_06097,4,deer,0.99230605
clip_vit_b_32_linear,translation_8_left,test_00964,6,horse,0.97183484
clip_vit_b_32_linear,translation_8_left,test_07634,0,airplane,0.9910985
clip_vit_b_32_linear,translation_8_left,test_06434,8,ship,0.98464704
clip_vit_b_32_linear,translation_8_left,test_05183,2,car,0.98143315
clip_vit_b_32_linear,translation_8_left,test_06986,0,airplane,0.9824126
clip_vit_b_32_linear,translation_8_left,test_00645,5,dog,0.98668706
clip_vit_b_32_linear,translation_8_left,test_03347,0,airplane,0.9849855
clip_vit_b_32_linear,translation_8_left,test_05677,2,car,0.9638335
clip_vit_b_32_linear,translation_8_left,test_03412,8,ship,0.9901146
clip_vit_b_32_linear,translation_8_left,test_03937,1,bird,0.98993427
clip_vit_b_32_linear,translation_8_left,test_00873,6,horse,0.9880392
clip_vit_b_32_linear,translation_8_left,test_02167,9,truck,0.96174294
clip_vit_b_32_linear,translation_8_left,test_06490,3,cat,0.9783653
clip_vit_b_32_linear,translation_8_left,test_00738,3,cat,0.9588455
clip_vit_b_32_linear,translation_8_left,test_06616,2,car,0.9869808
clip_vit_b_32_linear,translation_8_left,test_04093,6,horse,0.9798088
clip_vit_b_32_linear,translation_8_left,test_05788,9,truck,0.9764926
clip_vit_b_32_linear,translation_8_left,test_07818,8,ship,0.9869118
clip_vit_b_32_linear,translation_8_left,test_00304,1,bird,0.94590676
clip_vit_b_32_linear,translation_8_left,test_02082,2,car,0.9833945
clip_vit_b_32_linear,translation_8_left,test_02746,7,monkey,0.9639263
clip_vit_b_32_linear,translation_8_left,test_07944,4,deer,0.96009004
clip_vit_b_32_linear,translation_8_left,test_06689,8,ship,0.98818594
clip_vit_b_32_linear,translation_8_left,test_02414,9,truck,0.98590094
clip_vit_b_32_linear,translation_8_left,test_03779,6,horse,0.9864319
clip_vit_b_32_linear,translation_8_left,test_02095,1,bird,0.9944556
clip_vit_b_32_linear,translation_8_left,test_07262,0,airplane,0.98286074
clip_vit_b_32_linear,translation_8_left,test_05694,8,ship,0.98165846
clip_vit_b_32_linear,translation_8_left,test_07413,5,dog,0.9892017
clip_vit_b_32_linear,translation_8_left,test_06805,1,bird,0.9877181
clip_vit_b_32_linear,translation_8_left,test_03446,7,monkey,0.9764295
clip_vit_b_32_linear,translation_8_left,test_02807,5,dog,0.97008586
clip_vit_b_32_linear,translation_8_left,test_07940,4,deer,0.9671559
clip_vit_b_32_linear,translation_8_left,test_04172,7,monkey,0.9776901
clip_vit_b_32_linear,translation_8_left,test_07744,3,cat,0.9728976
clip_vit_b_32_linear,translation_8_left,test_01586,2,car,0.9631759
clip_vit_b_32_linear,translation_8_left,test_07999,8,ship,0.9780593
clip_vit_b_32_linear,translation_8_left,test_06349,1,bird,0.9809393
clip_vit_b_32_linear,translation_8_left,test_06594,1,bird,0.99197745
clip_vit_b_32_linear,translation_8_left,test_02109,8,ship,0.9919734
clip_vit_b_32_linear,translation_8_left,test_03079,1,bird,0.982862
clip_vit_b_32_linear,translation_8_left,test_02070,1,bird,0.9447534
clip_vit_b_32_linear,translation_8_left,test_00319,5,dog,0.9735079
clip_vit_b_32_linear,translation_8_left,test_02888,0,airplane,0.970655
clip_vit_b_32_linear,translation_8_left,test_06224,5,dog,0.9854835
clip_vit_b_32_linear,translation_8_left,test_03353,5,dog,0.9678696
clip_vit_b_32_linear,translation_8_left,test_06244,2,car,0.95607686
clip_vit_b_32_linear,translation_8_left,test_04704,7,monkey,0.96940565
clip_vit_b_32_linear,translation_8_left,test_02427,5,dog,0.9918499
clip_vit_b_32_linear,translation_8_left,test_07995,9,truck,0.9711767
clip_vit_b_32_linear,translation_8_left,test_01124,4,deer,0.9888285
clip_vit_b_32_linear,translation_8_left,test_06733,1,bird,0.9931168
clip_vit_b_32_linear,translation_8_left,test_02062,9,truck,0.99007183
clip_vit_b_32_linear,translation_8_left,test_00805,9,truck,0.9824637
clip_vit_b_32_linear,translation_8_left,test_02028,3,cat,0.9695604
clip_vit_b_32_linear,translation_8_left,test_02392,2,car,0.9785342
clip_vit_b_32_linear,translation_8_left,test_03292,6,horse,0.9426132
clip_vit_b_32_linear,translation_8_left,test_01440,7,monkey,0.9861951
clip_vit_b_32_linear,translation_8_left,test_01115,1,bird,0.95898074
clip_vit_b_32_linear,translation_8_left,test_04242,8,ship,0.9919424
clip_vit_b_32_linear,translation_8_left,test_02230,8,ship,0.97006196
clip_vit_b_32_linear,translation_8_left,test_03163,2,car,0.97918916
clip_vit_b_32_linear,translation_8_left,test_00545,6,horse,0.97364724
clip_vit_b_32_linear,translation_8_left,test_03863,5,dog,0.9808168
clip_vit_b_32_linear,translation_8_left,test_04748,7,monkey,0.9798241
clip_vit_b_32_linear,translation_8_left,test_02399,4,deer,0.98836744
clip_vit_b_32_linear,translation_8_left,test_04341,6,horse,0.9848984
clip_vit_b_32_linear,translation_8_left,test_03078,4,deer,0.98886776
clip_vit_b_32_linear,translation_8_left,test_03763,4,deer,0.9878066
clip_vit_b_32_linear,translation_8_left,test_02958,6,horse,0.99043393
clip_vit_b_32_linear,translation_8_left,test_06381,6,horse,0.98489136
clip_vit_b_32_linear,translation_8_left,test_01640,8,ship,0.98634505
clip_vit_b_32_linear,translation_8_left,test_01783,8,ship,0.98483455
clip_vit_b_32_linear,translation_8_left,test_03914,3,cat,0.99072737
clip_vit_b_32_linear,translation_8_left,test_01534,6,horse,0.9718756
clip_vit_b_32_linear,translation_8_left,test_00685,5,dog,0.9843895
clip_vit_b_32_linear,translation_8_left,test_04617,0,airplane,0.98442656
clip_vit_b_32_linear,translation_8_left,test_05508,9,truck,0.97956455
clip_vit_b_32_linear,translation_8_left,test_01022,9,truck,0.97755754
clip_vit_b_32_linear,translation_8_left,test_01230,1,bird,0.94417834
clip_vit_b_32_linear,translation_8_left,test_07475,4,deer,0.9869783
clip_vit_b_32_linear,translation_8_left,test_05756,2,car,0.9678714
clip_vit_b_32_linear,translation_8_left,test_03122,4,deer,0.97419703
clip_vit_b_32_linear,translation_8_left,test_07202,1,bird,0.9902487
clip_vit_b_32_linear,translation_8_left,test_04723,9,truck,0.9909675
clip_vit_b_32_linear,translation_8_left,test_01552,5,dog,0.9935367
clip_vit_b_32_linear,translation_8_left,test_00603,9,truck,0.9580725
clip_vit_b_32_linear,translation_8_left,test_02861,3,cat,0.98631424
clip_vit_b_32_linear,translation_8_left,test_06426,2,car,0.983543
clip_vit_b_32_linear,translation_8_left,test_07864,4,deer,0.97964466
clip_vit_b_32_linear,translation_8_left,test_05729,6,horse,0.98396724
clip_vit_b_32_linear,translation_8_left,test_07474,5,dog,0.98914963
clip_vit_b_32_linear,translation_8_left,test_04298,1,bird,0.989565
