model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,translation_8_right,test_00632,3,cat,0.9706371
vit_b_16_linear,translation_8_right,test_00131,9,truck,0.9544224
vit_b_16_linear,translation_8_right,test_07081,7,monkey,0.97858554
vit_b_16_linear,translation_8_right,test_01836,9,truck,0.97818506
vit_b_16_linear,translation_8_right,test_06437,0,airplane,0.972202
vit_b_16_linear,translation_8_right,test_06609,0,airplane,0.9787942
vit_b_16_linear,translation_8_right,test_03467,7,monkey,0.8998916
vit_b_16_linear,translation_8_right,test_01401,3,cat,0.8601553
vit_b_16_linear,translation_8_right,test_01839,2,car,0.97404087
vit_b_16_linear,translation_8_right,test_04168,3,cat,0.874697
vit_b_16_linear,translation_8_right,test_00035,2,car,0.92757463
vit_b_16_linear,translation_8_right,test_04177,8,ship,0.8566662
vit_b_16_linear,translation_8_right,test_07270,7,monkey,0.93349063
vit_b_16_linear,translation_8_right,test_02265,5,dog,0.95686024
vit_b_16_linear,translation_8_right,test_03288,7,monkey,0.97414047
vit_b_16_linear,translation_8_right,test_05451,8,ship,0.9802743
vit_b_16_linear,translation_8_right,test_04023,3,cat,0.9788063
vit_b_16_linear,translation_8_right,test_00261,1,bird,0.99125105
vit_b_16_linear,translation_8_right,test_04570,5,dog,0.9426053
vit_b_16_linear,translation_8_right,test_04966,5,dog,0.935174
vit_b_16_linear,translation_8_right,test_07955,1,bird,0.9727864
vit_b_16_linear,translation_8_right,test_06288,4,deer,0.95625746
vit_b_16_linear,translation_8_right,test_07810,8,ship,0.95733404
vit_b_16_linear,translation_8_right,test_01927,7,monkey,0.9632567
vit_b_16_linear,translation_8_right,test_01871,1,bird,0.98176163
vit_b_16_linear,translation_8_right,test_06922,5,dog,0.9571936
vit_b_16_linear,translation_8_right,test_03512,4,deer,0.8990134
vit_b_16_linear,translation_8_right,test_04754,6,horse,0.94396776
vit_b_16_linear,translation_8_right,test_00714,2,car,0.92134494
vit_b_16_linear,translation_8_right,test_02191,8,ship,0.92674005
vit_b_16_linear,translation_8_right,test_04615,0,airplane,0.9718603
vit_b_16_linear,translation_8_right,test_04662,8,ship,0.97833186
vit_b_16_linear,translation_8_right,test_05915,9,truck,0.9489223
vit_b_16_linear,translation_8_right,test_00766,4,deer,0.8940878
vit_b_16_linear,translation_8_right,test_05218,2,car,0.98524857
vit_b_16_linear,translation_8_right,test_02340,8,ship,0.96513945
vit_b_16_linear,translation_8_right,test_01954,8,ship,0.9702413
vit_b_16_linear,translation_8_right,test_07875,8,ship,0.9700048
vit_b_16_linear,translation_8_right,test_03418,6,horse,0.98345596
vit_b_16_linear,translation_8_right,test_05572,9,truck,0.96309984
vit_b_16_linear,translation_8_right,test_05977,7,monkey,0.9863516
vit_b_16_linear,translation_8_right,test_05123,1,bird,0.9643559
vit_b_16_linear,translation_8_right,test_05851,9,truck,0.98661244
vit_b_16_linear,translation_8_right,test_04094,9,truck,0.96532106
vit_b_16_linear,translation_8_right,test_04254,6,horse,0.95083314
vit_b_16_linear,translation_8_right,test_02501,7,monkey,0.95961946
vit_b_16_linear,translation_8_right,test_06938,1,bird,0.97723305
vit_b_16_linear,translation_8_right,test_00171,4,deer,0.94288504
vit_b_16_linear,translation_8_right,test_04215,3,cat,0.91816854
vit_b_16_linear,translation_8_right,test_05705,8,ship,0.927829
vit_b_16_linear,translation_8_right,test_03458,4,deer,0.9334169
vit_b_16_linear,translation_8_right,test_01220,7,monkey,0.9846883
vit_b_16_linear,translation_8_right,test_00962,8,ship,0.96860045
vit_b_16_linear,translation_8_right,test_02950,5,dog,0.93162847
vit_b_16_linear,translation_8_right,test_02623,5,dog,0.7719116
vit_b_16_linear,translation_8_right,test_04539,0,airplane,0.9726256
