model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,translation_32_up,test_00632,3,cat,0.97754914
vit_b_16_linear,translation_32_up,test_00131,9,truck,0.967161
vit_b_16_linear,translation_32_up,test_07081,7,monkey,0.9396661
vit_b_16_linear,translation_32_up,test_01836,9,truck,0.9936097
vit_b_16_linear,translation_32_up,test_06437,0,airplane,0.9723429
vit_b_16_linear,translation_32_up,test_06609,0,airplane,0.936526
vit_b_16_linear,translation_32_up,test_03467,7,monkey,0.8836336
vit_b_16_linear,translation_32_up,test_01401,3,cat,0.91065145
vit_b_16_linear,translation_32_up,test_01839,2,car,0.9630852
vit_b_16_linear,translation_32_up,test_04168,3,cat,0.97305614
vit_b_16_linear,translation_32_up,test_00035,2,car,0.94291127
vit_b_16_linear,translation_32_up,test_04177,8,ship,0.97733474
vit_b_16_linear,translation_32_up,test_07270,7,monkey,0.8785696
vit_b_16_linear,translation_32_up,test_02265,5,dog,0.97805995
vit_b_16_linear,translation_32_up,test_03288,7,monkey,0.9816314
vit_b_16_linear,translation_32_up,test_05451,8,ship,0.9414319
vit_b_16_linear,translation_32_up,test_04023,3,cat,0.9691131
vit_b_16_linear,translation_32_up,test_00261,1,bird,0.9871864
vit_b_16_linear,translation_32_up,test_04570,5,dog,0.95201063
vit_b_16_linear,translation_32_up,test_04966,5,dog,0.9178651
vit_b_16_linear,translation_32_up,test_07955,1,bird,0.93094575
vit_b_16_linear,translation_32_up,test_06288,4,deer,0.96206886
vit_b_16_linear,translation_32_up,test_07810,8,ship,0.9614728
vit_b_16_linear,translation_32_up,test_01927,7,monkey,0.96054244
vit_b_16_linear,translation_32_up,test_01871,1,bird,0.96333766
vit_b_16_linear,translation_32_up,test_06922,5,dog,0.92315865
vit_b_16_linear,translation_32_up,test_03512,4,deer,0.9560908
vit_b_16_linear,translation_32_up,test_04754,6,horse,0.83726054
vit_b_16_linear,translation_32_up,test_00714,2,car,0.9094601
vit_b_16_linear,translation_32_up,test_02191,8,ship,0.9703588
vit_b_16_linear,translation_32_up,test_04615,0,airplane,0.9900788
vit_b_16_linear,translation_32_up,test_04662,8,ship,0.99310523
vit_b_16_linear,translation_32_up,test_05915,9,truck,0.9373221
vit_b_16_linear,translation_32_up,test_00766,4,deer,0.9201554
vit_b_16_linear,translation_32_up,test_05218,2,car,0.98681885
vit_b_16_linear,translation_32_up,test_02340,8,ship,0.9184714
vit_b_16_linear,translation_32_up,test_01954,8,ship,0.9398706
vit_b_16_linear,translation_32_up,test_07875,8,ship,0.9560441
vit_b_16_linear,translation_32_up,test_03418,6,horse,0.9351931
vit_b_16_linear,translation_32_up,test_05572,9,truck,0.9177561
vit_b_16_linear,translation_32_up,test_05977,7,monkey,0.9815299
vit_b_16_linear,translation_32_up,test_05123,1,bird,0.9308034
vit_b_16_linear,translation_32_up,test_05851,9,truck,0.993746
vit_b_16_linear,translation_32_up,test_04094,9,truck,0.972164
vit_b_16_linear,translation_32_up,test_04254,6,horse,0.9908184
