model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,translation_32_up,test_00632,3,cat,0.95298624
clip_vit_b_32_linear,translation_32_up,test_00131,9,truck,0.9788225
clip_vit_b_32_linear,translation_32_up,test_07081,7,monkey,0.9661109
clip_vit_b_32_linear,translation_32_up,test_01836,9,truck,0.98487014
clip_vit_b_32_linear,translation_32_up,test_06437,0,airplane,0.9801344
clip_vit_b_32_linear,translation_32_up,test_06609,0,airplane,0.96617496
clip_vit_b_32_linear,translation_32_up,test_03467,7,monkey,0.96070105
clip_vit_b_32_linear,translation_32_up,test_01401,3,cat,0.9783405
clip_vit_b_32_linear,translation_32_up,test_01839,2,car,0.9777728
clip_vit_b_32_linear,translation_32_up,test_04168,3,cat,0.99142045
clip_vit_b_32_linear,translation_32_up,test_00035,2,car,0.98710895
clip_vit_b_32_linear,translation_32_up,test_04177,8,ship,0.9947355
clip_vit_b_32_linear,translation_32_up,test_07270,7,monkey,0.954139
clip_vit_b_32_linear,translation_32_up,test_02265,5,dog,0.98529375
clip_vit_b_32_linear,translation_32_up,test_03288,7,monkey,0.9787746
clip_vit_b_32_linear,translation_32_up,test_05451,8,ship,0.9741085
clip_vit_b_32_linear,translation_32_up,test_04023,3,cat,0.9733769
clip_vit_b_32_linear,translation_32_up,test_00261,1,bird,0.97927314
clip_vit_b_32_linear,translation_32_up,test_04570,5,dog,0.95383584
clip_vit_b_32_linear,translation_32_up,test_04966,5,dog,0.98735833
clip_vit_b_32_linear,translation_32_up,test_07955,1,bird,0.94920415
clip_vit_b_32_linear,translation_32_up,test_06288,4,deer,0.95756316
clip_vit_b_32_linear,translation_32_up,test_07810,8,ship,0.9898289
clip_vit_b_32_linear,translation_32_up,test_01927,7,monkey,0.9715645
clip_vit_b_32_linear,translation_32_up,test_01871,1,bird,0.96882844
clip_vit_b_32_linear,translation_32_up,test_06922,5,dog,0.9856742
clip_vit_b_32_linear,translation_32_up,test_03512,4,deer,0.9927193
clip_vit_b_32_linear,translation_32_up,test_04754,6,horse,0.95918334
clip_vit_b_32_linear,translation_32_up,test_00714,2,car,0.93074715
clip_vit_b_32_linear,translation_32_up,test_02191,8,ship,0.9841556
clip_vit_b_32_linear,translation_32_up,test_04615,0,airplane,0.9906133
clip_vit_b_32_linear,translation_32_up,test_04662,8,ship,0.9953029
clip_vit_b_32_linear,translation_32_up,test_05915,9,truck,0.9576272
