model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,translation_8_right,test_00632,3,cat,0.9858589
clip_vit_b_32_linear,translation_8_right,test_00131,9,truck,0.97537893
clip_vit_b_32_linear,translation_8_right,test_07081,7,monkey,0.964157
clip_vit_b_32_linear,translation_8_right,test_01836,9,truck,0.98506695
clip_vit_b_32_linear,translation_8_right,test_06437,0,airplane,0.98710966
clip_vit_b_32_linear,translation_8_right,test_06609,0,airplane,0.9822953
clip_vit_b_32_linear,translation_8_right,test_03467,7,monkey,0.9821794
clip_vit_b_32_linear,translation_8_right,test_01401,3,cat,0.97507226
clip_vit_b_32_linear,translation_8_right,test_01839,2,car,0.98815686
clip_vit_b_32_linear,translation_8_right,test_04168,3,cat,0.9795641
clip_vit_b_32_linear,translation_8_right,test_00035,2,car,0.9636817
clip_vit_b_32_linear,translation_8_right,test_04177,8,ship,0.97555906
clip_vit_b_32_linear,translation_8_right,test_07270,7,monkey,0.97080976
clip_vit_b_32_linear,translation_8_right,test_02265,5,dog,0.9791058
clip_vit_b_32_linear,translation_8_right,test_03288,7,monkey,0.98687536
clip_vit_b_32_linear,translation_8_right,test_05451,8,ship,0.9938464
clip_vit_b_32_linear,translation_8_right,test_04023,3,cat,0.9850879
clip_vit_b_32_linear,translation_8_right,test_00261,1,bird,0.9899258
clip_vit_b_32_linear,translation_8_right,test_04570,5,dog,0.97331893
clip_vit_b_32_linear,translation_8_right,test_04966,5,dog,0.9560325
clip_vit_b_32_linear,translation_8_right,test_07955,1,bird,0.9780904
clip_vit_b_32_linear,translation_8_right,test_06288,4,deer,0.98387766
clip_vit_b_32_linear,translation_8_right,test_07810,8,ship,0.98916924
clip_vit_b_32_linear,translation_8_right,test_01927,7,monkey,0.967203
clip_vit_b_32_linear,translation_8_right,test_01871,1,bird,0.9956552
clip_vit_b_32_linear,translation_8_right,test_06922,5,dog,0.91175073
clip_vit_b_32_linear,translation_8_right,test_03512,4,deer,0.98337305
clip_vit_b_32_linear,translation_8_right,test_04754,6,horse,0.988908
clip_vit_b_32_linear,translation_8_right,test_00714,2,car,0.9550325
clip_vit_b_32_linear,translation_8_right,test_02191,8,ship,0.9934207
clip_vit_b_32_linear,translation_8_right,test_04615,0,airplane,0.97810847
clip_vit_b_32_linear,translation_8_right,test_04662,8,ship,0.9913285
clip_vit_b_32_linear,translation_8_right,test_05915,9,truck,0.96255183
clip_vit_b_32_linear,translation_8_right,test_00766,4,deer,0.9768835
clip_vit_b_32_linear,translation_8_right,test_05218,2,car,0.97262436
clip_vit_b_32_linear,translation_8_right,test_02340,8,ship,0.99051327
clip_vit_b_32_linear,translation_8_right,test_01954,8,ship,0.9881694
clip_vit_b_32_linear,translation_8_right,test_07875,8,ship,0.9838445
clip_vit_b_32_linear,translation_8_right,test_03418,6,horse,0.9876177
clip_vit_b_32_linear,translation_8_right,test_05572,9,truck,0.9864721
clip_vit_b_32_linear,translation_8_right,test_05977,7,monkey,0.9881536
clip_vit_b_32_linear,translation_8_right,test_05123,1,bird,0.9848944
clip_vit_b_32_linear,translation_8_right,test_05851,9,truck,0.99149734
clip_vit_b_32_linear,translation_8_right,test_04094,9,truck,0.9658871
clip_vit_b_32_linear,translation_8_right,test_04254,6,horse,0.989765
clip_vit_b_32_linear,translation_8_right,test_02501,7,monkey,0.9548524
clip_vit_b_32_linear,translation_8_right,test_06938,1,bird,0.98453057
clip_vit_b_32_linear,translation_8_right,test_00171,4,deer,0.9856542
clip_vit_b_32_linear,translation_8_right,test_04215,3,cat,0.98495483
clip_vit_b_32_linear,translation_8_right,test_05705,8,ship,0.9894179
clip_vit_b_32_linear,translation_8_right,test_03458,4,deer,0.9939154
clip_vit_b_32_linear,translation_8_right,test_01220,7,monkey,0.9829493
clip_vit_b_32_linear,translation_8_right,test_00962,8,ship,0.9846891
clip_vit_b_32_linear,translation_8_right,test_02950,5,dog,0.9790664
clip_vit_b_32_linear,translation_8_right,test_02623,5,dog,0.97448665
clip_vit_b_32_linear,translation_8_right,test_04539,0,airplane,0.9816613
clip_vit_b_32_linear,translation_8_right,test_01553,0,airplane,0.9774116
clip_vit_b_32_linear,translation_8_right,test_04740,4,deer,0.95946866
clip_vit_b_32_linear,translation_8_right,test_06844,0,airplane,0.9826492
clip_vit_b_32_linear,translation_8_right,test_02668,7,monkey,0.9860166
clip_vit_b_32_linear,translation_8_right,test_03153,7,monkey,0.9775462
clip_vit_b_32_linear,translation_8_right,test_05135,4,deer,0.9330325
clip_vit_b_32_linear,translation_8_right,test_02291,3,cat,0.98164517
clip_vit_b_32_linear,translation_8_right,test_00116,1,bird,0.9726543
clip_vit_b_32_linear,translation_8_right,test_07797,3,cat,0.982852
clip_vit_b_32_linear,translation_8_right,test_04609,3,cat,0.95135134
clip_vit_b_32_linear,translation_8_right,test_00081,0,airplane,0.97168005
clip_vit_b_32_linear,translation_8_right,test_05580,6,horse,0.9893181
clip_vit_b_32_linear,translation_8_right,test_03024,2,car,0.9901048
clip_vit_b_32_linear,translation_8_right,test_02766,5,dog,0.9603917
clip_vit_b_32_linear,translation_8_right,test_05000,8,ship,0.98742545
clip_vit_b_32_linear,translation_8_right,test_02610,6,horse,0.98521775
clip_vit_b_32_linear,translation_8_right,test_02024,0,airplane,0.98578024
clip_vit_b_32_linear,translation_8_right,test_06097,4,deer,0.9938547
clip_vit_b_32_linear,translation_8_right,test_00964,6,horse,0.9667681
clip_vit_b_32_linear,translation_8_right,test_07634,0,airplane,0.99365973
clip_vit_b_32_linear,translation_8_right,test_06434,8,ship,0.9827413
clip_vit_b_32_linear,translation_8_right,test_05183,2,car,0.9703221
clip_vit_b_32_linear,translation_8_right,test_06986,0,airplane,0.98193276
clip_vit_b_32_linear,translation_8_right,test_00645,5,dog,0.97948647
clip_vit_b_32_linear,translation_8_right,test_03347,0,airplane,0.9878077
clip_vit_b_32_linear,translation_8_right,test_05677,2,car,0.9649999
clip_vit_b_32_linear,translation_8_right,test_03412,8,ship,0.9857664
clip_vit_b_32_linear,translation_8_right,test_03937,1,bird,0.9917822
clip_vit_b_32_linear,translation_8_right,test_00873,6,horse,0.98516387
clip_vit_b_32_linear,translation_8_right,test_02167,9,truck,0.9734499
clip_vit_b_32_linear,translation_8_right,test_06490,3,cat,0.97500724
clip_vit_b_32_linear,translation_8_right,test_00738,3,cat,0.95664454
clip_vit_b_32_linear,translation_8_right,test_06616,2,car,0.98199713
clip_vit_b_32_linear,translation_8_right,test_04093,6,horse,0.97431874
clip_vit_b_32_linear,translation_8_right,test_05788,9,truck,0.98265845
clip_vit_b_32_linear,translation_8_right,test_07818,8,ship,0.9924508
clip_vit_b_32_linear,translation_8_right,test_00304,1,bird,0.95798635
clip_vit_b_32_linear,translation_8_right,test_02082,2,car,0.9699533
clip_vit_b_32_linear,translation_8_right,test_02746,7,monkey,0.9734416
clip_vit_b_32_linear,translation_8_right,test_07944,4,deer,0.9775522
clip_vit_b_32_linear,translation_8_right,test_06689,8,ship,0.9830117
clip_vit_b_32_linear,translation_8_right,test_02414,9,truck,0.988735
clip_vit_b_32_linear,translation_8_right,test_03779,6,horse,0.9858788
clip_vit_b_32_linear,translation_8_right,test_02095,1,bird,0.9912137
clip_vit_b_32_linear,translation_8_right,test_07262,0,airplane,0.98734766
clip_vit_b_32_linear,translation_8_right,test_05694,8,ship,0.9894212
clip_vit_b_32_linear,translation_8_right,test_07413,5,dog,0.98907053
clip_vit_b_32_linear,translation_8_right,test_06805,1,bird,0.9897254
clip_vit_b_32_linear,translation_8_right,test_03446,7,monkey,0.9415773
clip_vit_b_32_linear,translation_8_right,test_02807,5,dog,0.9630996
clip_vit_b_32_linear,translation_8_right,test_07940,4,deer,0.9796832
clip_vit_b_32_linear,translation_8_right,test_04172,7,monkey,0.9712846
clip_vit_b_32_linear,translation_8_right,test_07744,3,cat,0.98925877
clip_vit_b_32_linear,translation_8_right,test_01586,2,car,0.9589577
clip_vit_b_32_linear,translation_8_right,test_07999,8,ship,0.98012245
clip_vit_b_32_linear,translation_8_right,test_06349,1,bird,0.9799867
clip_vit_b_32_linear,translation_8_right,test_06594,1,bird,0.9909632
clip_vit_b_32_linear,translation_8_right,test_02109,8,ship,0.987411
