model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,translation_8_down,test_00632,3,cat,0.98194504
clip_vit_b_32_linear,translation_8_down,test_00131,9,truck,0.9725334
clip_vit_b_32_linear,translation_8_down,test_07081,7,monkey,0.9870164
clip_vit_b_32_linear,translation_8_down,test_01836,9,truck,0.9905815
clip_vit_b_32_linear,translation_8_down,test_06437,0,airplane,0.9743842
clip_vit_b_32_linear,translation_8_down,test_06609,0,airplane,0.9779895
clip_vit_b_32_linear,translation_8_down,test_03467,7,monkey,0.9773513
clip_vit_b_32_linear,translation_8_down,test_01401,3,cat,0.97622967
clip_vit_b_32_linear,translation_8_down,test_01839,2,car,0.9817014
clip_vit_b_32_linear,translation_8_down,test_04168,3,cat,0.9834839
clip_vit_b_32_linear,translation_8_down,test_00035,2,car,0.97378665
clip_vit_b_32_linear,translation_8_down,test_04177,8,ship,0.98810786
clip_vit_b_32_linear,translation_8_down,test_07270,7,monkey,0.9703644
clip_vit_b_32_linear,translation_8_down,test_02265,5,dog,0.98180884
clip_vit_b_32_linear,translation_8_down,test_03288,7,monkey,0.98196185
clip_vit_b_32_linear,translation_8_down,test_05451,8,ship,0.98288226
clip_vit_b_32_linear,translation_8_down,test_04023,3,cat,0.9740877
clip_vit_b_32_linear,translation_8_down,test_00261,1,bird,0.9738897
clip_vit_b_32_linear,translation_8_down,test_04570,5,dog,0.98190117
clip_vit_b_32_linear,translation_8_down,test_04966,5,dog,0.9749967
clip_vit_b_32_linear,translation_8_down,test_07955,1,bird,0.98111653
clip_vit_b_32_linear,translation_8_down,test_06288,4,deer,0.9793997
clip_vit_b_32_linear,translation_8_down,test_07810,8,ship,0.9825481
clip_vit_b_32_linear,translation_8_down,test_01927,7,monkey,0.97409487
clip_vit_b_32_linear,translation_8_down,test_01871,1,bird,0.9888003
clip_vit_b_32_linear,translation_8_down,test_06922,5,dog,0.96968305
clip_vit_b_32_linear,translation_8_down,test_03512,4,deer,0.99161434
clip_vit_b_32_linear,translation_8_down,test_04754,6,horse,0.97323537
clip_vit_b_32_linear,translation_8_down,test_00714,2,car,0.9716539
clip_vit_b_32_linear,translation_8_down,test_02191,8,ship,0.97946316
clip_vit_b_32_linear,translation_8_down,test_04615,0,airplane,0.98733956
clip_vit_b_32_linear,translation_8_down,test_04662,8,ship,0.9915633
clip_vit_b_32_linear,translation_8_down,test_05915,9,truck,0.960986
clip_vit_b_32_linear,translation_8_down,test_00766,4,deer,0.9822261
clip_vit_b_32_linear,translation_8_down,test_05218,2,car,0.9778276
clip_vit_b_32_linear,translation_8_down,test_02340,8,ship,0.98588
clip_vit_b_32_linear,translation_8_down,test_01954,8,ship,0.9612043
clip_vit_b_32_linear,translation_8_down,test_07875,8,ship,0.9818365
clip_vit_b_32_linear,translation_8_down,test_03418,6,horse,0.989324
clip_vit_b_32_linear,translation_8_down,test_05572,9,truck,0.9711098
clip_vit_b_32_linear,translation_8_down,test_05977,7,monkey,0.98674166
clip_vit_b_32_linear,translation_8_down,test_05123,1,bird,0.9871961
clip_vit_b_32_linear,translation_8_down,test_05851,9,truck,0.99144036
clip_vit_b_32_linear,translation_8_down,test_04094,9,truck,0.9748613
clip_vit_b_32_linear,translation_8_down,test_04254,6,horse,0.9743211
clip_vit_b_32_linear,translation_8_down,test_02501,7,monkey,0.9756129
clip_vit_b_32_linear,translation_8_down,test_06938,1,bird,0.98783153
